"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","participant","rewexpect_group"
"157",1,8,1,9,9,3,9,8,1,1,1,2,1,4,1,2,1,1,1,5,1,8,1,9,9,3,9,8,1,1,157,4
"158",2,2,2,3,1,1,2,1,1,1,2,4,4,6,4,5,4,1,4,6,2,4,4,6,4,5,4,1,4,6,158,4
"159",1,1,2,2,2,8,1,2,1,1,1,3,3,8,2,4,4,1,6,9,1,1,2,2,2,8,1,2,1,1,159,4
"160",8,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7,6,7,5,7,7,7,6,7,7,6,7,7,6,7,160,3
"161",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,161,3
"162",9,3,9,9,9,2,9,9,9,9,9,7,8,9,7,8,9,9,7,8,9,7,8,9,7,8,9,9,7,8,162,4
"163",5,1,7,4,6,5,6,4,4,6,3,6,3,6,5,6,4,6,7,7,5,1,7,4,6,5,6,4,4,6,163,4
"164",4,2,6,5,3,7,7,6,5,3,4,2,6,5,3,7,7,6,5,3,8,8,7,8,7,6,7,8,7,8,164,3
"165",2,3,4,3,5,5,4,5,2,3,2,3,4,3,5,5,4,5,2,3,2,3,4,3,5,5,4,5,2,3,165,2
"166",1,1,1,1,7,1,1,2,1,1,1,1,2,4,1,1,1,1,2,2,1,2,2,2,3,2,2,3,2,2,166,1
"167",7,7,7,4,7,4,3,7,7,7,7,7,7,4,7,4,3,7,7,7,6,4,4,3,3,3,7,7,7,3,167,2
"168",7,3,6,7,4,7,4,4,6,6,4,7,7,4,7,6,7,6,7,6,7,3,6,7,4,7,4,4,6,6,168,2
"169",1,1,1,1,1,4,1,1,1,5,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,5,169,4
"170",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,170,3
"171",5,4,5,5,5,5,5,5,6,5,5,5,5,6,5,5,5,6,5,5,5,4,5,5,5,5,5,5,6,5,171,2
"172",1,9,5,9,1,7,9,8,8,6,1,9,5,9,1,7,9,8,8,6,6,7,7,6,4,6,7,7,6,4,172,3
"173",5,3,5,5,4,5,3,5,5,5,6,5,5,7,4,7,7,6,3,6,8,8,6,6,6,6,7,6,8,7,173,1
"174",6,6,5,6,6,6,6,6,6,5,6,5,5,5,5,5,5,6,5,6,6,5,6,6,5,6,6,6,5,7,174,1
"175",7,6,6,5,3,3,4,3,6,2,7,6,6,5,3,3,4,3,6,2,7,6,6,5,3,3,4,3,6,2,175,1
"176",9,9,7,8,8,8,8,8,8,7,1,6,4,3,8,7,8,8,7,7,9,9,7,8,8,8,8,8,8,7,176,2
